"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","Deve retornar 404 para produto inexistente","","Mon Apr 20 15:03:54 UTC 2026","passed","Mon Apr 20 15:03:54 UTC 2026","","tests.TestDummyJsonProducts","tests.TestDummyJsonProducts","shouldReturn404ForNonexistentProduct"
"","519","Deve retornar uma lista de produtos","","Mon Apr 20 15:03:53 UTC 2026","passed","Mon Apr 20 15:03:54 UTC 2026","","tests.TestDummyJsonProducts","tests.TestDummyJsonProducts","shouldReturnProductsList"
"","107","Deve retornar o produto específico pelo id 1","","Mon Apr 20 15:03:54 UTC 2026","passed","Mon Apr 20 15:03:54 UTC 2026","","tests.TestDummyJsonProducts","tests.TestDummyJsonProducts","shouldReturnSpecificProductById"
"","312","Nao deve gerar token com credenciais invalidas (Bad Request/Unauthorized)","","Mon Apr 20 15:03:54 UTC 2026","passed","Mon Apr 20 15:03:54 UTC 2026","","tests.TestRestfulBookerAuth","tests.TestRestfulBookerAuth","shouldNotCreateTokenWithInvalidCredentials"
"","2435","Deve simular a criacao de um produto via POST","","Mon Apr 20 15:03:51 UTC 2026","passed","Mon Apr 20 15:03:53 UTC 2026","","tests.TestDummyJsonProducts","tests.TestDummyJsonProducts","shouldSimulateProductCreation"
"","290","Deve gerar token de autenticacao validando credenciais corretas","","Mon Apr 20 15:03:54 UTC 2026","passed","Mon Apr 20 15:03:55 UTC 2026","","tests.TestRestfulBookerAuth","tests.TestRestfulBookerAuth","shouldCreateTokenWithValidCredentials"
